,time_histo_el_s,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
366,734.0,204467,222366,4,0,0,0,204467,222366
367,736.0,207079,231798,7,0,1,0,207079,231798
368,738.0,207807,235770,3,0,0,0,207807,235770
369,740.0,207988,230641,6,0,0,0,207988,230641
370,742.0,207253,226125,5,0,0,0,207253,226125
371,744.0,207688,226458,0,0,0,0,207688,226458
372,746.0,206604,226373,1,0,0,0,206604,226373
373,748.0,205639,233012,6,1,1,0,205639,233012
374,750.0,208245,236340,1,0,0,0,208245,236340
375,752.0,210260,239802,8,3,0,0,210260,239802
376,754.0,214422,235071,3,1,0,0,214422,235071
377,756.0,213660,231204,5,0,0,0,213660,231204
378,758.0,218374,230247,1,0,0,0,218374,230247
379,760.0,225737,227064,7,1,1,0,225737,227064
380,762.0,228591,227337,2,0,0,0,228591,227337
381,764.0,230698,224972,9,1,0,0,230698,224972
382,766.0,230493,226319,5,2,1,1,230493,226319
383,768.0,228601,231013,1,0,0,0,228601,231013
384,770.0,225357,234912,6,0,0,0,225357,234912
385,772.0,222778,240033,7,3,0,0,222778,240033
386,774.0,225354,237627,3,0,0,0,225354,237627
387,776.0,227350,233173,1,0,0,0,227350,233173
388,778.0,226129,227215,3,1,0,0,226129,227215
389,780.0,225304,223384,3,1,1,0,225304,223384
390,782.0,227658,213728,3,0,0,0,227658,213728
391,784.0,229378,207398,2,0,1,0,229378,207398
392,786.0,229776,214745,2,1,1,1,229776,214745
393,788.0,230288,228478,3,0,0,0,230288,228478
394,790.0,230913,234864,1,0,0,0,230913,234864
395,792.0,227637,239412,2,0,0,0,227637,239412
396,794.0,227893,242039,9,2,0,0,227893,242039
397,796.0,228751,243862,3,0,0,0,228751,243862
398,798.0,231285,235628,6,0,0,0,231285,235628
399,800.0,232072,231940,2,0,0,0,232072,231940
400,802.0,235393,233735,4,1,0,0,235393,233735
401,804.0,234224,227058,6,1,1,0,234224,227058
402,806.0,232849,223694,1,0,0,0,232849,223694
403,809.0,232220,224159,2,0,1,0,232220,224159
404,811.0,229751,232414,4,0,0,0,229751,232414
405,813.0,228343,234903,5,2,0,0,228343,234903
406,815.0,225428,229757,8,1,1,0,225428,229757
407,817.0,222408,226568,9,0,1,0,222408,226568
408,819.0,220508,227783,1,0,0,0,220508,227783
409,821.0,217371,222407,1,0,0,0,217371,222407
410,823.0,218202,221471,2,0,1,0,218202,221471
411,825.0,220543,215909,2,0,0,0,220543,215909
412,827.0,221470,210533,5,0,0,0,221470,210533
413,829.0,218191,203768,6,0,0,0,218191,203768
414,831.0,215490,195771,3,0,0,0,215490,195771
415,833.0,220467,191143,8,1,0,0,220467,191143
416,835.0,223418,189248,10,1,0,0,223418,189248
417,837.0,220937,193040,9,0,0,0,220937,193040
418,839.0,219554,194170,2,0,0,0,219554,194170
419,841.0,214187,197252,9,3,0,0,214187,197252
420,843.0,213976,200397,4,0,0,0,213976,200397
421,845.0,214757,198994,3,0,0,0,214757,198994
422,847.0,211067,194702,1,0,0,0,211067,194702
423,849.0,211043,193872,5,1,0,0,211043,193872
424,851.0,209041,189834,4,1,0,0,209041,189834
425,853.0,207610,207847,7,0,1,0,207610,207847
426,855.0,210432,220845,5,0,1,0,210432,220845
427,857.0,211306,221313,6,1,0,0,211306,221313
428,859.0,211221,220906,2,0,0,0,211221,220906
429,861.0,213986,207039,7,0,0,0,213986,207039
