,time_histo_el_s,ch0
533,1067.0,553
534,1069.0,528
535,1071.0,549
536,1073.0,511
537,1075.0,575
538,1077.0,548
539,1079.0,505
540,1081.0,558
541,1083.0,560
542,1085.0,537
543,1087.0,546
544,1089.0,507
545,1091.0,513
546,1093.0,506
547,1095.0,558
548,1097.0,535
549,1099.0,548
550,1101.0,537
551,1103.0,554
552,1105.0,565
553,1107.0,519
554,1109.0,562
555,1111.0,505
556,1113.0,551
557,1115.0,583
558,1117.0,572
559,1119.0,550
560,1121.0,553
561,1123.0,558
562,1125.0,524
563,1127.0,560
564,1129.0,507
565,1131.0,552
566,1133.0,531
567,1135.0,570
568,1137.0,526
569,1139.0,528
570,1141.0,491
571,1143.0,536
572,1145.0,547
573,1147.0,562
574,1149.0,532
575,1151.0,541
576,1153.0,538
577,1155.0,515
578,1157.0,516
579,1159.0,520
580,1161.0,527
581,1163.0,521
582,1165.0,534
583,1167.0,546
584,1169.0,568
585,1171.0,592
586,1173.0,536
587,1175.0,560
588,1177.0,560
589,1179.0,539
590,1181.0,572
591,1183.0,563
592,1185.0,549
593,1187.0,532
594,1189.0,519
595,1191.0,554
596,1193.0,519
597,1195.0,534
598,1197.0,550
599,1199.0,573
600,1201.0,561
601,1203.0,472
602,1205.0,541
603,1207.0,492
604,1209.0,530
605,1211.0,510
606,1213.0,555
607,1215.0,578
608,1217.0,547
609,1219.0,490
610,1221.0,545
611,1223.0,537
612,1225.0,559
613,1227.0,499
614,1229.0,529
615,1231.0,539
616,1233.0,516
617,1235.0,553
618,1237.0,586
619,1239.0,540
620,1241.0,579
621,1243.0,556
622,1245.0,513
623,1247.0,504
624,1249.0,527
625,1251.0,523
626,1253.0,535
627,1255.0,523
628,1257.0,513
629,1259.0,550
630,1261.0,510
631,1263.0,535
632,1265.0,534
633,1267.0,506
634,1269.0,538
635,1271.0,537
636,1273.0,553
637,1275.0,509
638,1277.0,480
639,1279.0,528
640,1281.0,583
641,1283.0,491
642,1285.0,506
643,1287.0,518
644,1289.0,511
645,1291.0,551
646,1293.0,526
647,1295.0,503
648,1297.0,543
649,1299.0,548
650,1301.0,522
651,1303.0,529
652,1305.0,538
653,1307.0,528
654,1309.0,536
655,1311.0,472
656,1313.0,590
657,1315.0,513
658,1317.0,502
659,1319.0,517
660,1321.0,545
661,1323.0,514
662,1325.0,571
663,1327.0,499
664,1329.0,500
665,1331.0,561
666,1333.0,512
667,1335.0,480
668,1337.0,502
669,1339.0,527
670,1341.0,483
671,1343.0,527
672,1345.0,514
673,1347.0,490
674,1349.0,534
675,1351.0,520
676,1353.0,533
677,1355.0,503
678,1357.0,474
679,1359.0,512
680,1361.0,527
681,1363.0,499
682,1365.0,519
683,1367.0,528
684,1369.0,512
685,1371.0,492
686,1373.0,512
687,1375.0,536
688,1377.0,527
689,1379.0,516
690,1381.0,511
691,1383.0,504
692,1385.0,468
693,1387.0,469
694,1389.0,445
695,1391.0,488
696,1393.0,436
697,1395.0,473
698,1397.0,493
699,1399.0,510
700,1401.0,450
701,1403.0,504
702,1405.0,469
703,1407.0,518
704,1409.0,454
705,1411.0,486
706,1413.0,514
707,1415.0,477
708,1417.0,519
709,1419.0,517
710,1421.0,491
711,1423.0,484
712,1425.0,497
713,1427.0,506
714,1429.0,496
715,1431.0,460
716,1433.0,479
717,1435.0,498
718,1437.0,503
719,1439.0,494
720,1441.0,503
721,1443.0,503
722,1445.0,506
723,1447.0,472
724,1449.0,515
725,1451.0,488
726,1453.0,469
727,1455.0,517
728,1457.0,507
729,1459.0,470
730,1461.0,491
731,1463.0,487
732,1465.0,522
733,1467.0,498
734,1469.0,500
735,1471.0,514
736,1473.0,515
737,1475.0,531
738,1477.0,516
739,1479.0,531
740,1481.0,525
741,1483.0,547
742,1485.0,515
743,1487.0,561
744,1489.0,538
745,1491.0,497
746,1493.0,536
747,1495.0,522
748,1497.0,491
749,1499.0,509
750,1501.0,488
751,1503.0,527
752,1505.0,494
753,1507.0,489
754,1509.0,517
755,1511.0,497
756,1513.0,504
757,1515.0,517
758,1517.0,502
759,1519.0,515
760,1521.0,481
761,1523.0,550
762,1525.0,506
763,1527.0,524
764,1529.0,518
765,1531.0,534
766,1533.0,522
767,1535.0,545
768,1537.0,549
769,1539.0,534
770,1541.0,477
771,1543.0,516
772,1545.0,535
773,1547.0,528
774,1549.0,515
775,1551.0,523
776,1553.0,491
777,1555.0,498
778,1557.0,516
779,1559.0,510
780,1561.0,515
781,1563.0,531
782,1565.0,511
783,1567.0,531
784,1569.0,534
785,1571.0,487
786,1573.0,507
787,1575.0,510
788,1577.0,515
789,1579.0,507
790,1581.0,528
791,1583.0,547
792,1585.0,545
793,1587.0,518
794,1589.0,527
795,1591.0,508
796,1593.0,488
797,1595.0,508
798,1597.0,505
799,1599.0,508
800,1601.0,530
801,1603.0,525
802,1605.0,562
803,1607.0,553
804,1609.0,538
805,1611.0,503
806,1613.0,535
807,1615.0,510
808,1617.0,526
809,1619.0,502
810,1621.0,484
811,1623.0,497
812,1625.0,503
813,1627.0,499
814,1629.0,496
815,1631.0,528
816,1633.0,505
817,1635.0,523
818,1637.0,534
819,1639.0,470
820,1641.0,485
821,1643.0,498
822,1645.0,498
823,1647.0,502
824,1649.0,521
825,1651.0,553
826,1653.0,547
827,1655.0,512
828,1657.0,506
829,1659.0,530
830,1661.0,522
831,1663.0,533
832,1665.0,509
833,1667.0,514
834,1669.0,484
835,1671.0,504
836,1673.0,560
837,1675.0,499
